"School Year","Division Number","Division Name","School Number","School Name","Subject","Race","Gender","Disadvantaged","English Learner","Migrant","Homeless","Military","Foster Care","Disabled","Test Source","Pass Rate"
"2017-2018","2","Albemarle County","340","Crozet Elementary","Mathematics","Non-Hispanic, two or more races","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","340","Crozet Elementary","English:Reading","Non-Hispanic, two or more races","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","340","Crozet Elementary","History and Social Science","Non-Hispanic, two or more races","M","Y","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","340","Crozet Elementary","Mathematics","Non-Hispanic, two or more races","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","340","Crozet Elementary","Science","Non-Hispanic, two or more races","M","Y","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","American Indian or Alaska Native","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","American Indian or Alaska Native","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Asian","F","N","N","N","N","N","N","N","SOL","100.00"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Asian","M","N","N","N","N","N","N","N","SOL","100.00"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Asian","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Asian","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Asian","F","N","N","N","N","N","N","N","SOL","100.00"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Asian","M","N","N","N","N","N","N","N","SOL","100.00"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Asian","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Asian","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Asian","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Asian","M","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Asian","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Asian","M","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Asian","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Asian","M","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Asian","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Asian","M","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Asian","M","N","Y","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Asian","M","N","Y","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Asian","M","N","Y","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Asian","M","N","Y","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Black, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Black, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Black, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Black, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Black, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Black, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Black, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Black, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Black, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Black, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Black, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Black, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Hispanic","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Hispanic","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Hispanic","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Hispanic","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Hispanic","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Hispanic","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Hispanic","F","N","N","N","N","Y","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Hispanic","F","N","N","N","N","Y","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Hispanic","F","N","N","N","N","Y","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Hispanic","F","N","N","N","N","Y","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Hispanic","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Hispanic","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","White, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL","95.00"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","White, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL","93.10"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","White, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL","100.00"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","White, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL","100.00"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","White, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL","91.67"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","White, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL","93.10"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","White, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL","100.00"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","White, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL","100.00"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","White, not of Hispanic origin","F","N","N","N","N","Y","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","White, not of Hispanic origin","M","N","N","N","N","Y","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","White, not of Hispanic origin","F","N","N","N","N","Y","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","White, not of Hispanic origin","F","N","N","N","N","Y","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","White, not of Hispanic origin","M","N","N","N","N","Y","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","White, not of Hispanic origin","F","N","N","N","N","Y","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","White, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","White, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","White, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","White, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","White, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","White, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","White, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","White, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","White, not of Hispanic origin","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","White, not of Hispanic origin","M","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","White, not of Hispanic origin","M","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","White, not of Hispanic origin","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","White, not of Hispanic origin","M","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","White, not of Hispanic origin","M","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Non-Hispanic, two or more races","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Non-Hispanic, two or more races","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Non-Hispanic, two or more races","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Non-Hispanic, two or more races","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Non-Hispanic, two or more races","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Non-Hispanic, two or more races","M","N","Y","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Non-Hispanic, two or more races","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Non-Hispanic, two or more races","M","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Non-Hispanic, two or more races","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Non-Hispanic, two or more races","M","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Non-Hispanic, two or more races","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Non-Hispanic, two or more races","M","N","Y","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Asian","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Asian","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Asian","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Asian","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Asian","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Asian","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Asian","F","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Asian","F","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Asian","F","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Asian","F","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Black, not of Hispanic origin","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Black, not of Hispanic origin","M","Y","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Black, not of Hispanic origin","M","Y","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Black, not of Hispanic origin","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Black, not of Hispanic origin","M","Y","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Black, not of Hispanic origin","M","Y","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Black, not of Hispanic origin","F","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Black, not of Hispanic origin","F","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Hispanic","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Hispanic","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Hispanic","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Hispanic","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Hispanic","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Hispanic","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Hispanic","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Hispanic","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Hispanic","M","Y","Y","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Hispanic","M","Y","Y","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","White, not of Hispanic origin","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","White, not of Hispanic origin","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","White, not of Hispanic origin","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","White, not of Hispanic origin","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","White, not of Hispanic origin","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","White, not of Hispanic origin","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","White, not of Hispanic origin","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","White, not of Hispanic origin","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","White, not of Hispanic origin","F","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","White, not of Hispanic origin","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","White, not of Hispanic origin","M","Y","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","White, not of Hispanic origin","F","Y","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","White, not of Hispanic origin","M","Y","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","White, not of Hispanic origin","M","Y","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","White, not of Hispanic origin","F","Y","Y","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","White, not of Hispanic origin","M","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","White, not of Hispanic origin","M","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","White, not of Hispanic origin","F","Y","Y","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","White, not of Hispanic origin","M","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","White, not of Hispanic origin","M","Y","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Non-Hispanic, two or more races","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","English:Reading","Non-Hispanic, two or more races","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","History and Social Science","Non-Hispanic, two or more races","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Non-Hispanic, two or more races","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Mathematics","Non-Hispanic, two or more races","M","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","10","Hollymead Elementary","Science","Non-Hispanic, two or more races","F","Y","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","American Indian or Alaska Native","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","American Indian or Alaska Native","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","American Indian or Alaska Native","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","American Indian or Alaska Native","M","N","N","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","Asian","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Writing","Asian","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","History and Social Science","Asian","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","Asian","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Science","Asian","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","Asian","M","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","Asian","M","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","Asian","M","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","Asian","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","Asian","M","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","Asian","F","N","Y","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","Asian","M","N","Y","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","Asian","F","N","Y","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","Asian","M","N","Y","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","Black, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","Black, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Writing","Black, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Writing","Black, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","History and Social Science","Black, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","History and Social Science","Black, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","Black, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","Black, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Science","Black, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Science","Black, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","Black, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","Black, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Writing","Black, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","History and Social Science","Black, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","History and Social Science","Black, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","Black, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","Black, not of Hispanic origin","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Science","Black, not of Hispanic origin","F","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","Black, not of Hispanic origin","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","Black, not of Hispanic origin","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","Hispanic","F","N","N","N","N","N","N","N","SOL","90.00"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","Hispanic","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Writing","Hispanic","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","History and Social Science","Hispanic","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","Hispanic","F","N","N","N","N","N","N","N","SOL","80.00"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","Hispanic","M","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Science","Hispanic","F","N","N","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","Hispanic","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","Hispanic","M","N","N","N","N","N","N","Y","SOL","<50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","Hispanic","F","N","Y","N","N","N","N","N","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","Hispanic","F","N","Y","N","N","N","N","N","SOL","<50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","Hispanic","M","N","Y","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","Hispanic","M","N","Y","N","N","N","N","Y","SOL",">50"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","White, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL","96.30"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Reading","White, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL","98.73"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Writing","White, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL","90.00"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","English:Writing","White, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL","94.29"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","History and Social Science","White, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL","100.00"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","History and Social Science","White, not of Hispanic origin","M","N","N","N","N","N","N","N","SOL","97.14"
"2017-2018","2","Albemarle County","950","Jack Jouett Middle","Mathematics","White, not of Hispanic origin","F","N","N","N","N","N","N","N","SOL","92.59"
