ID,Category,Total,With State Certification
510126000476,Classroom teachers in their first year of teaching,0.03,
510126000476,Classroom teachers in their second year of teaching,0.03,
510126000476,Teachers absent more than 10 days of the school year,0.36,
510126000476,Teachers employed during current school year,1.01,
510126000476,Teachers employed during both the current and previous school year,0.75,
510126000476,High-School Counselors,1,
510126000476,Total enrollment,,
510151000660,Classroom Teachers,1,0.94
510151000660,Classroom teachers in their first year of teaching,0.08,
510151000660,Classroom teachers in their second year of teaching,0.06,
510151000660,Teachers absent more than 10 days of the school year,0.3,
510151000660,Teachers employed during current school year,1.01,
510151000660,Teachers employed during both the current and previous school year,0.85,
510151000660,High-School Counselors,1,
510151000660,Total enrollment,,
510151000661,Classroom Teachers,1,0.92
510151000661,Classroom teachers in their first year of teaching,0.08,
510151000661,Classroom teachers in their second year of teaching,0,
510151000661,Teachers absent more than 10 days of the school year,0.27,
510151000661,Teachers employed during current school year,1.01,
510151000661,Teachers employed during both the current and previous school year,0.83,
510151000661,High-School Counselors,1,
510151000661,Total enrollment,,
510151002274,Classroom Teachers,1,0.83
510151002274,Classroom teachers in their first year of teaching,0,
510151002274,Classroom teachers in their second year of teaching,0.17,
510151002274,Teachers absent more than 10 days of the school year,0.33,
510151002274,Teachers employed during current school year,0.83,
510151002274,Teachers employed during both the current and previous school year,0.83,
510151002274,High-School Counselors,1,
510151002274,Total enrollment,,
510151002468,Classroom Teachers,1,0.91
510151002468,Classroom teachers in their first year of teaching,0.07,
510151002468,Classroom teachers in their second year of teaching,0.02,
510151002468,Teachers absent more than 10 days of the school year,0.37,
510151002468,Teachers employed during current school year,1,
510151002468,Teachers employed during both the current and previous school year,0.81,
510151002468,High-School Counselors,1,
510151002468,Total enrollment,,
510151002612,Classroom Teachers,1,0.9
510151002612,Classroom teachers in their first year of teaching,0.09,
510151002612,Classroom teachers in their second year of teaching,0.05,
510151002612,Teachers absent more than 10 days of the school year,0.5,
510151002612,Teachers employed during current school year,1.02,
510151002612,Teachers employed during both the current and previous school year,0.75,
510151002612,High-School Counselors,1,
510151002612,Total enrollment,,
510156000301,Classroom Teachers,1,0.98
510156000301,Classroom teachers in their first year of teaching,0.02,
510156000301,Classroom teachers in their second year of teaching,0,
510156000301,Teachers absent more than 10 days of the school year,0.7,
510156000301,Teachers employed during current school year,1,
510156000301,Teachers employed during both the current and previous school year,0.91,
510156000301,High-School Counselors,1,
510156000301,Total enrollment,,
510156000356,Classroom Teachers,1,1
510156000356,Classroom teachers in their first year of teaching,0.04,
510156000356,Classroom teachers in their second year of teaching,0.04,
510156000356,Teachers absent more than 10 days of the school year,0.67,
510156000356,Teachers employed during current school year,1,
510156000356,Teachers employed during both the current and previous school year,0.93,
510156000356,High-School Counselors,1,
510156000356,Total enrollment,,
510156000665,Classroom Teachers,1,1
510156000665,Classroom teachers in their first year of teaching,0.07,
510156000665,Classroom teachers in their second year of teaching,0.09,
510156000665,Teachers absent more than 10 days of the school year,0.5,
510156000665,Teachers employed during current school year,1,
510156000665,Teachers employed during both the current and previous school year,0.98,
510156000665,High-School Counselors,1,
510156000665,Total enrollment,,
510159000669,Classroom Teachers,1,1
510159000669,Classroom teachers in their first year of teaching,0.04,
510159000669,Classroom teachers in their second year of teaching,0.06,
510159000669,Teachers absent more than 10 days of the school year,0.39,
510159000669,Teachers employed during current school year,1,
510159000669,Teachers employed during both the current and previous school year,0.85,
510159000669,High-School Counselors,1,
510159000669,Total enrollment,,
510159000671,Classroom Teachers,1,1
510159000671,Classroom teachers in their first year of teaching,0.07,
510159000671,Classroom teachers in their second year of teaching,0.07,
510159000671,Teachers absent more than 10 days of the school year,0.7,
510159000671,Teachers employed during current school year,1,
510159000671,Teachers employed during both the current and previous school year,0.91,
510159000671,High-School Counselors,1,
510159000671,Total enrollment,,
510159000672,Classroom Teachers,1,1
510159000672,Classroom teachers in their first year of teaching,0.03,
510159000672,Classroom teachers in their second year of teaching,0.05,
510159000672,Teachers absent more than 10 days of the school year,0.72,
510159000672,Teachers employed during current school year,1,
510159000672,Teachers employed during both the current and previous school year,0.9,
510159000672,High-School Counselors,1,
510159000672,Total enrollment,,
510159000673,Classroom Teachers,1,1
510159000673,Classroom teachers in their first year of teaching,0.13,
510159000673,Classroom teachers in their second year of teaching,0.03,
510159000673,Teachers absent more than 10 days of the school year,0.52,
510159000673,Teachers employed during current school year,1,
510159000673,Teachers employed during both the current and previous school year,0.81,
510159000673,High-School Counselors,1,
510159000673,Total enrollment,,
510159001920,Classroom Teachers,1,1
510159001920,Classroom teachers in their first year of teaching,0.07,
510159001920,Classroom teachers in their second year of teaching,0,
510159001920,Teachers absent more than 10 days of the school year,0.37,
510159001920,Teachers employed during current school year,1,
510159001920,Teachers employed during both the current and previous school year,0.95,
510159001920,High-School Counselors,1,
510159001920,Total enrollment,,
510162000677,Classroom Teachers,1,0.91
510162000677,Classroom teachers in their first year of teaching,0.05,
510162000677,Classroom teachers in their second year of teaching,0.11,
510162000677,Teachers absent more than 10 days of the school year,0.36,
510162000677,Teachers employed during current school year,1,
510162000677,Teachers employed during both the current and previous school year,0.91,
510162000677,High-School Counselors,1,
510162000677,Total enrollment,,
510162000678,Classroom Teachers,1,1
510162000678,Classroom teachers in their first year of teaching,0,
510162000678,Classroom teachers in their second year of teaching,0.09,
510162000678,Teachers absent more than 10 days of the school year,0.38,
510162000678,Teachers employed during current school year,1,
510162000678,Teachers employed during both the current and previous school year,1,
510162000678,High-School Counselors,1,
510162000678,Total enrollment,,
510162000679,Classroom Teachers,1,0.93
510162000679,Classroom teachers in their first year of teaching,0.02,
510162000679,Classroom teachers in their second year of teaching,0.02,
510162000679,Teachers absent more than 10 days of the school year,0.37,
510162000679,Teachers employed during current school year,1,
510162000679,Teachers employed during both the current and previous school year,0.88,
510162000679,High-School Counselors,1,
510162000679,Total enrollment,,
510162000680,Classroom Teachers,1,0.89
510162000680,Classroom teachers in their first year of teaching,0.05,
510162000680,Classroom teachers in their second year of teaching,0.05,
510162000680,Teachers absent more than 10 days of the school year,0.37,
510162000680,Teachers employed during current school year,1,
510162000680,Teachers employed during both the current and previous school year,0.88,
510162000680,High-School Counselors,1,
510162000680,Total enrollment,,
510162001616,Classroom Teachers,1,0.97
510162001616,Classroom teachers in their first year of teaching,0.03,
510162001616,Classroom teachers in their second year of teaching,0.03,
510162001616,Teachers absent more than 10 days of the school year,0.5,
510162001616,Teachers employed during current school year,1,
510162001616,Teachers employed during both the current and previous school year,0.86,
510162001616,High-School Counselors,1,
510162001616,Total enrollment,,
510189002953,Classroom Teachers,1,1
510189002953,Classroom teachers in their first year of teaching,0,
510189002953,Classroom teachers in their second year of teaching,0.06,
510189002953,Teachers absent more than 10 days of the school year,0.44,
510189002953,Teachers employed during current school year,1.22,
510189002953,Teachers employed during both the current and previous school year,1.17,
510189002953,High-School Counselors,1,
510189002953,Total enrollment,,
510192000837,Classroom Teachers,1,0.96
510192000837,Classroom teachers in their first year of teaching,0.01,
510192000837,Classroom teachers in their second year of teaching,0.04,
510192000837,Teachers absent more than 10 days of the school year,0.32,
510192000837,Teachers employed during current school year,1.24,
510192000837,Teachers employed during both the current and previous school year,1.17,
510192000837,High-School Counselors,1,
510192000837,Total enrollment,,
510192000838,Classroom Teachers,1,1
510192000838,Classroom teachers in their first year of teaching,0.05,
510192000838,Classroom teachers in their second year of teaching,0,
510192000838,Teachers absent more than 10 days of the school year,0.45,
510192000838,Teachers employed during current school year,1.32,
510192000838,Teachers employed during both the current and previous school year,1.09,
510192000838,High-School Counselors,1,
510192000838,Total enrollment,,
510192000839,Classroom Teachers,1,1
510192000839,Classroom teachers in their first year of teaching,0.06,
510192000839,Classroom teachers in their second year of teaching,0.06,
510192000839,Teachers absent more than 10 days of the school year,0.33,
510192000839,Teachers employed during current school year,1.39,
510192000839,Teachers employed during both the current and previous school year,1,
510192000839,High-School Counselors,1,
510192000839,Total enrollment,,
510192000840,Classroom Teachers,1,0.95
510192000840,Classroom teachers in their first year of teaching,0.05,
510192000840,Classroom teachers in their second year of teaching,0,
510192000840,Teachers absent more than 10 days of the school year,0.47,
510192000840,Teachers employed during current school year,1.37,
510192000840,Teachers employed during both the current and previous school year,1.23,
510192000840,High-School Counselors,1,
510192000840,Total enrollment,,
510192000847,Classroom Teachers,1,1
510192000847,Classroom teachers in their first year of teaching,0.09,
510192000847,Classroom teachers in their second year of teaching,0.04,
510192000847,Teachers absent more than 10 days of the school year,0.38,
510192000847,Teachers employed during current school year,1.32,
510192000847,Teachers employed during both the current and previous school year,1.17,
510192000847,High-School Counselors,1,
510192000847,Total enrollment,,
510192000848,Classroom Teachers,1,1
510192000848,Classroom teachers in their first year of teaching,0.07,
510192000848,Classroom teachers in their second year of teaching,0.07,
510192000848,Teachers absent more than 10 days of the school year,0.27,
510192000848,Teachers employed during current school year,1.4,
510192000848,Teachers employed during both the current and previous school year,1.2,
510192000848,High-School Counselors,1,
510192000848,Total enrollment,,
510192000853,Classroom Teachers,1,1
510192000853,Classroom teachers in their first year of teaching,0.13,
510192000853,Classroom teachers in their second year of teaching,0,
510192000853,Teachers absent more than 10 days of the school year,0.32,
510192000853,Teachers employed during current school year,1.48,
510192000853,Teachers employed during both the current and previous school year,1.29,
510192000853,High-School Counselors,1,
510192000853,Total enrollment,,
510192000855,Classroom Teachers,1,1
510192000855,Classroom teachers in their first year of teaching,0,
510192000855,Classroom teachers in their second year of teaching,0,
510192000855,Teachers absent more than 10 days of the school year,0.27,
510192000855,Teachers employed during current school year,1.27,
510192000855,Teachers employed during both the current and previous school year,1.23,
510192000855,High-School Counselors,1,
510192000855,Total enrollment,,
510192000857,Classroom Teachers,1,1
510192000857,Classroom teachers in their first year of teaching,0.11,
510192000857,Classroom teachers in their second year of teaching,0,
510192000857,Teachers absent more than 10 days of the school year,0.42,
510192000857,Teachers employed during current school year,1.05,
510192000857,Teachers employed during both the current and previous school year,0.95,
510192000857,High-School Counselors,1,
510192000857,Total enrollment,,
510192000859,Classroom Teachers,1,1
510192000859,Classroom teachers in their first year of teaching,0,
510192000859,Classroom teachers in their second year of teaching,0.03,
510192000859,Teachers absent more than 10 days of the school year,0.27,
510192000859,Teachers employed during current school year,1.17,
510192000859,Teachers employed during both the current and previous school year,1.03,
510192000859,High-School Counselors,1,
510192000859,Total enrollment,,
510192000860,Classroom Teachers,1,1
510192000860,Classroom teachers in their first year of teaching,0.04,
510192000860,Classroom teachers in their second year of teaching,0,
510192000860,Teachers absent more than 10 days of the school year,0.34,
510192000860,Teachers employed during current school year,1.28,
510192000860,Teachers employed during both the current and previous school year,1.23,
510192000860,High-School Counselors,1,
510192000860,Total enrollment,,
510192002125,Classroom Teachers,1,1
510192002125,Classroom teachers in their first year of teaching,0.06,
510192002125,Classroom teachers in their second year of teaching,0.02,
510192002125,Teachers absent more than 10 days of the school year,0.57,
510192002125,Teachers employed during current school year,1.25,
510192002125,Teachers employed during both the current and previous school year,1.03,
510192002125,High-School Counselors,1,
510192002125,Total enrollment,,
510192002443,Classroom Teachers,1,1
510192002443,Classroom teachers in their first year of teaching,0,
510192002443,Classroom teachers in their second year of teaching,0,
510192002443,Teachers absent more than 10 days of the school year,0.23,
510192002443,Teachers employed during current school year,1.14,
510192002443,Teachers employed during both the current and previous school year,1.03,
510192002443,High-School Counselors,1,
510192002443,Total enrollment,,
510192002839,Classroom Teachers,1,1
510192002839,Classroom teachers in their first year of teaching,0.09,
510192002839,Classroom teachers in their second year of teaching,0,
510192002839,Teachers absent more than 10 days of the school year,0.26,
510192002839,Teachers employed during current school year,1.35,
510192002839,Teachers employed during both the current and previous school year,1.09,
510192002839,High-School Counselors,1,
510192002839,Total enrollment,,
510192099999,Classroom Teachers,1,1
510192099999,Classroom teachers in their first year of teaching,0,
510192099999,Classroom teachers in their second year of teaching,0,
510192099999,Teachers absent more than 10 days of the school year,0.5,
510192099999,Teachers employed during current school year,1,
510192099999,Teachers employed during both the current and previous school year,1,
510192099999,High-School Counselors,1,
510192099999,Total enrollment,,
510195000861,Classroom Teachers,1,0.98
510195000861,Classroom teachers in their first year of teaching,0.18,
510195000861,Classroom teachers in their second year of teaching,0,
510195000861,Teachers absent more than 10 days of the school year,0.09,
510195000861,Teachers employed during current school year,1.28,
510195000861,Teachers employed during both the current and previous school year,1.28,
510195000861,High-School Counselors,1,
510195000861,Total enrollment,,
510195000862,Classroom Teachers,1,1
510195000862,Classroom teachers in their first year of teaching,0.07,
510195000862,Classroom teachers in their second year of teaching,0,
510195000862,Teachers absent more than 10 days of the school year,0.07,
510195000862,Teachers employed during current school year,1,
510195000862,Teachers employed during both the current and previous school year,1,
510195000862,High-School Counselors,1,
510195000862,Total enrollment,,
510240002616,Classroom Teachers,1,1
510240002616,Classroom teachers in their first year of teaching,0.18,
510240002616,Classroom teachers in their second year of teaching,0.09,
510240002616,Teachers absent more than 10 days of the school year,0.15,
510240002616,Teachers employed during current school year,1.02,
510240002616,Teachers employed during both the current and previous school year,1.32,
510240002616,High-School Counselors,1,
510240002616,Total enrollment,,
510240002617,Classroom Teachers,1,0.98
510240002617,Classroom teachers in their first year of teaching,0.04,
510240002617,Classroom teachers in their second year of teaching,0.11,
510240002617,Teachers absent more than 10 days of the school year,0.22,
510240002617,Teachers employed during current school year,1.06,
510240002617,Teachers employed during both the current and previous school year,1.13,
510240002617,High-School Counselors,1,
510240002617,Total enrollment,,
510240002618,Classroom Teachers,1,1
510240002618,Classroom teachers in their first year of teaching,0,
510240002618,Classroom teachers in their second year of teaching,0.2,
510240002618,Teachers absent more than 10 days of the school year,0.3,
510240002618,Teachers employed during current school year,1,
510240002618,Teachers employed during both the current and previous school year,1.1,
510240002618,High-School Counselors,1,
510240002618,Total enrollment,,
510243000993,Classroom Teachers,1,1
510243000993,Classroom teachers in their first year of teaching,0,
510243000993,Classroom teachers in their second year of teaching,0.03,
510243000993,Teachers absent more than 10 days of the school year,0.42,
510243000993,Teachers employed during current school year,1.07,
510243000993,Teachers employed during both the current and previous school year,1.07,
510243000993,High-School Counselors,1,
510243000993,Total enrollment,,
510243000994,Classroom Teachers,1,1
510243000994,Classroom teachers in their first year of teaching,0,
510243000994,Classroom teachers in their second year of teaching,0.1,
510243000994,Teachers absent more than 10 days of the school year,0.66,
510243000994,Teachers employed during current school year,0.97,
510243000994,Teachers employed during both the current and previous school year,0.97,
510243000994,High-School Counselors,1,
510243000994,Total enrollment,,
510243001388,Classroom Teachers,1,1
510243001388,Classroom teachers in their first year of teaching,0,
510243001388,Classroom teachers in their second year of teaching,0.03,
510243001388,Teachers absent more than 10 days of the school year,0.38,
510243001388,Teachers employed during current school year,1.07,
510243001388,Teachers employed during both the current and previous school year,1.07,
510243001388,High-School Counselors,1,
510243001388,Total enrollment,,
510246000995,Classroom Teachers,1,0.75
510246000995,Classroom teachers in their first year of teaching,0.22,
510246000995,Classroom teachers in their second year of teaching,0.11,
510246000995,Teachers absent more than 10 days of the school year,0,
510246000995,Teachers employed during current school year,1,
510246000995,Teachers employed during both the current and previous school year,0.97,
510246000995,High-School Counselors,1,
510246000995,Total enrollment,,
510246000996,Classroom Teachers,1,0.7
510246000996,Classroom teachers in their first year of teaching,0.06,
510246000996,Classroom teachers in their second year of teaching,0.12,
510246000996,Teachers absent more than 10 days of the school year,0.04,
510246000996,Teachers employed during current school year,1,
510246000996,Teachers employed during both the current and previous school year,0.92,
510246000996,High-School Counselors,1,
510246000996,Total enrollment,,
510246001002,Classroom Teachers,1,0.95
510246001002,Classroom teachers in their first year of teaching,0.05,
510246001002,Classroom teachers in their second year of teaching,0.1,
510246001002,Teachers absent more than 10 days of the school year,0.02,
510246001002,Teachers employed during current school year,1,
510246001002,Teachers employed during both the current and previous school year,0.98,
510246001002,High-School Counselors,1,
510246001002,Total enrollment,,
510246001004,Classroom Teachers,1,0.87
510246001004,Classroom teachers in their first year of teaching,0.1,
510246001004,Classroom teachers in their second year of teaching,0.05,
510246001004,Teachers absent more than 10 days of the school year,0.08,
510246001004,Teachers employed during current school year,1,
510246001004,Teachers employed during both the current and previous school year,1,
510246001004,High-School Counselors,1,
510246001004,Total enrollment,,
510246001006,Classroom Teachers,1,0.91
510246001006,Classroom teachers in their first year of teaching,0.06,
510246001006,Classroom teachers in their second year of teaching,0.03,
510246001006,Teachers absent more than 10 days of the school year,0.06,
510246001006,Teachers employed during current school year,1,
510246001006,Teachers employed during both the current and previous school year,0.91,
510246001006,High-School Counselors,1,
510246001006,Total enrollment,,
510246001007,Classroom Teachers,1,0.84
510246001007,Classroom teachers in their first year of teaching,0.08,
510246001007,Classroom teachers in their second year of teaching,0.08,
510246001007,Teachers absent more than 10 days of the school year,0.02,
510246001007,Teachers employed during current school year,1,
510246001007,Teachers employed during both the current and previous school year,0.94,
510246001007,High-School Counselors,1,
510246001007,Total enrollment,,
510246001008,Classroom Teachers,1,0.81
510246001008,Classroom teachers in their first year of teaching,0.09,
510246001008,Classroom teachers in their second year of teaching,0.06,
510246001008,Teachers absent more than 10 days of the school year,0.03,
510246001008,Teachers employed during current school year,1,
510246001008,Teachers employed during both the current and previous school year,0.91,
510246001008,High-School Counselors,1,
510246001008,Total enrollment,,
510246001009,Classroom Teachers,1,0.95
510246001009,Classroom teachers in their first year of teaching,0.06,
510246001009,Classroom teachers in their second year of teaching,0.02,
510246001009,Teachers absent more than 10 days of the school year,0.05,
510246001009,Teachers employed during current school year,1,
510246001009,Teachers employed during both the current and previous school year,0.98,
510246001009,High-School Counselors,1,
510246001009,Total enrollment,,
510246002453,Classroom Teachers,1,1
510246002453,Classroom teachers in their first year of teaching,0,
510246002453,Classroom teachers in their second year of teaching,0,
510246002453,Teachers absent more than 10 days of the school year,0,
510246002453,Teachers employed during current school year,1,
510246002453,Teachers employed during both the current and previous school year,1,
510246002453,High-School Counselors,1,
510246002453,Total enrollment,,
510249001012,Classroom Teachers,1,0.9
510249001012,Classroom teachers in their first year of teaching,0.04,
510249001012,Classroom teachers in their second year of teaching,0,
510249001012,Teachers absent more than 10 days of the school year,0.39,
510249001012,Teachers employed during current school year,1,
510249001012,Teachers employed during both the current and previous school year,0.82,
510249001012,High-School Counselors,1,
510249001012,Total enrollment,,
510249002195,Classroom Teachers,1,0.95
510249002195,Classroom teachers in their first year of teaching,0.05,
510249002195,Classroom teachers in their second year of teaching,0,
510249002195,Teachers absent more than 10 days of the school year,0.27,
510249002195,Teachers employed during current school year,1,
510249002195,Teachers employed during both the current and previous school year,0.82,
510249002195,High-School Counselors,1,
510249002195,Total enrollment,,
510294001206,Classroom Teachers,1,1
510294001206,Classroom teachers in their first year of teaching,0.02,
510294001206,Classroom teachers in their second year of teaching,0.02,
510294001206,Teachers absent more than 10 days of the school year,0.39,
510294001206,Teachers employed during current school year,0.94,
510294001206,Teachers employed during both the current and previous school year,0.86,
510294001206,High-School Counselors,1,
510294001206,Total enrollment,,
510294001208,Classroom Teachers,1,0.95
510294001208,Classroom teachers in their first year of teaching,0.05,
510294001208,Classroom teachers in their second year of teaching,0,
510294001208,Teachers absent more than 10 days of the school year,0.3,
510294001208,Teachers employed during current school year,0.89,
510294001208,Teachers employed during both the current and previous school year,0.75,
510294001208,High-School Counselors,1,
510294001208,Total enrollment,,
510294001209,Classroom Teachers,1,1
510294001209,Classroom teachers in their first year of teaching,0.04,
510294001209,Classroom teachers in their second year of teaching,0.04,
510294001209,Teachers absent more than 10 days of the school year,0.38,
510294001209,Teachers employed during current school year,1.04,
510294001209,Teachers employed during both the current and previous school year,0.88,
510294001209,High-School Counselors,1,
510294001209,Total enrollment,,
510294001210,Classroom Teachers,1,1
510294001210,Classroom teachers in their first year of teaching,0.06,
510294001210,Classroom teachers in their second year of teaching,0.02,
510294001210,Teachers absent more than 10 days of the school year,0.24,
510294001210,Teachers employed during current school year,1,
510294001210,Teachers employed during both the current and previous school year,0.83,
510294001210,High-School Counselors,1,
510294001210,Total enrollment,,
510294001213,Classroom Teachers,1,1
510294001213,Classroom teachers in their first year of teaching,0.02,
510294001213,Classroom teachers in their second year of teaching,0.04,
510294001213,Teachers absent more than 10 days of the school year,0.28,
510294001213,Teachers employed during current school year,1,
510294001213,Teachers employed during both the current and previous school year,0.87,
510294001213,High-School Counselors,1,
510294001213,Total enrollment,,
510294001214,Classroom Teachers,1,0.98
510294001214,Classroom teachers in their first year of teaching,0.02,
510294001214,Classroom teachers in their second year of teaching,0.05,
510294001214,Teachers absent more than 10 days of the school year,0.27,
510294001214,Teachers employed during current school year,0.91,
510294001214,Teachers employed during both the current and previous school year,0.75,
510294001214,High-School Counselors,1,
510294001214,Total enrollment,,
510294001216,Classroom Teachers,1,1
510294001216,Classroom teachers in their first year of teaching,0.02,
510294001216,Classroom teachers in their second year of teaching,0.04,
510294001216,Teachers absent more than 10 days of the school year,0.35,
510294001216,Teachers employed during current school year,1,
510294001216,Teachers employed during both the current and previous school year,0.85,
510294001216,High-School Counselors,1,
510294001216,Total enrollment,,
510294001217,Classroom Teachers,1,0.98
510294001217,Classroom teachers in their first year of teaching,0.03,
510294001217,Classroom teachers in their second year of teaching,0.03,
510294001217,Teachers absent more than 10 days of the school year,0.5,
510294001217,Teachers employed during current school year,1,
510294001217,Teachers employed during both the current and previous school year,0.8,
510294001217,High-School Counselors,1,
510294001217,Total enrollment,,
510294001218,Classroom Teachers,1,1
510294001218,Classroom teachers in their first year of teaching,0,
510294001218,Classroom teachers in their second year of teaching,0.02,
510294001218,Teachers absent more than 10 days of the school year,0.24,
510294001218,Teachers employed during current school year,1,
510294001218,Teachers employed during both the current and previous school year,0.82,
510294001218,High-School Counselors,1,
510294001218,Total enrollment,,
510294001219,Classroom Teachers,1,1
510294001219,Classroom teachers in their first year of teaching,0.12,
510294001219,Classroom teachers in their second year of teaching,0.04,
510294001219,Teachers absent more than 10 days of the school year,0.32,
510294001219,Teachers employed during current school year,0.96,
510294001219,Teachers employed during both the current and previous school year,0.84,
510294001219,High-School Counselors,1,
510294001219,Total enrollment,,
510294001220,Classroom Teachers,1,1
510294001220,Classroom teachers in their first year of teaching,0.05,
510294001220,Classroom teachers in their second year of teaching,0.05,
510294001220,Teachers absent more than 10 days of the school year,0.4,
510294001220,Teachers employed during current school year,1.02,
510294001220,Teachers employed during both the current and previous school year,0.9,
510294001220,High-School Counselors,1,
510294001220,Total enrollment,,
510294001221,Classroom Teachers,1,1
510294001221,Classroom teachers in their first year of teaching,0.11,
510294001221,Classroom teachers in their second year of teaching,0.16,
510294001221,Teachers absent more than 10 days of the school year,0.21,
510294001221,Teachers employed during current school year,1,
510294001221,Teachers employed during both the current and previous school year,0.79,
510294001221,High-School Counselors,1,
510294001221,Total enrollment,,
510294001224,Classroom Teachers,1,0.97
510294001224,Classroom teachers in their first year of teaching,0.03,
510294001224,Classroom teachers in their second year of teaching,0.03,
510294001224,Teachers absent more than 10 days of the school year,0.33,
510294001224,Teachers employed during current school year,1,
510294001224,Teachers employed during both the current and previous school year,0.97,
510294001224,High-School Counselors,1,
510294001224,Total enrollment,,
510294001226,Classroom Teachers,1,1
510294001226,Classroom teachers in their first year of teaching,0.03,
510294001226,Classroom teachers in their second year of teaching,0.03,
510294001226,Teachers absent more than 10 days of the school year,0.34,
510294001226,Teachers employed during current school year,1,
510294001226,Teachers employed during both the current and previous school year,0.87,
510294001226,High-School Counselors,1,
510294001226,Total enrollment,,
510294001227,Classroom Teachers,1,1
510294001227,Classroom teachers in their first year of teaching,0.05,
510294001227,Classroom teachers in their second year of teaching,0.02,
510294001227,Teachers absent more than 10 days of the school year,0.35,
510294001227,Teachers employed during current school year,1,
510294001227,Teachers employed during both the current and previous school year,0.88,
510294001227,High-School Counselors,1,
510294001227,Total enrollment,,
510294001228,Classroom Teachers,1,1
510294001228,Classroom teachers in their first year of teaching,0.05,
510294001228,Classroom teachers in their second year of teaching,0.05,
510294001228,Teachers absent more than 10 days of the school year,0.33,
510294001228,Teachers employed during current school year,1.05,
510294001228,Teachers employed during both the current and previous school year,0.9,
510294001228,High-School Counselors,1,
510294001228,Total enrollment,,
510294001395,Classroom Teachers,1,0.98
510294001395,Classroom teachers in their first year of teaching,0.02,
510294001395,Classroom teachers in their second year of teaching,0,
510294001395,Teachers absent more than 10 days of the school year,0.66,
510294001395,Teachers employed during current school year,1.02,
510294001395,Teachers employed during both the current and previous school year,0.89,
510294001395,High-School Counselors,1,
510294001395,Total enrollment,,
510324001389,Classroom Teachers,1,1
510324001389,Classroom teachers in their first year of teaching,0.3,
510324001389,Classroom teachers in their second year of teaching,0.17,
510324001389,Teachers absent more than 10 days of the school year,0.52,
510324001389,Teachers employed during current school year,1.17,
510324001389,Teachers employed during both the current and previous school year,0,
510324001389,High-School Counselors,1,
510324001389,Total enrollment,,
510324001400,Classroom Teachers,1,1
510324001400,Classroom teachers in their first year of teaching,0.09,
510324001400,Classroom teachers in their second year of teaching,0.09,
510324001400,Teachers absent more than 10 days of the school year,0.78,
510324001400,Teachers employed during current school year,0.91,
510324001400,Teachers employed during both the current and previous school year,0,
510324001400,High-School Counselors,1,
510324001400,Total enrollment,,
510324001404,Classroom Teachers,1,1
510324001404,Classroom teachers in their first year of teaching,0.12,
510324001404,Classroom teachers in their second year of teaching,0.12,
510324001404,Teachers absent more than 10 days of the school year,0.72,
510324001404,Teachers employed during current school year,0.96,
510324001404,Teachers employed during both the current and previous school year,0,
510324001404,High-School Counselors,1,
510324001404,Total enrollment,,
510324001406,Classroom Teachers,1,1
510324001406,Classroom teachers in their first year of teaching,0.04,
510324001406,Classroom teachers in their second year of teaching,0.04,
510324001406,Teachers absent more than 10 days of the school year,1,
510324001406,Teachers employed during current school year,1.35,
510324001406,Teachers employed during both the current and previous school year,0,
510324001406,High-School Counselors,1,
510324001406,Total enrollment,,
510324001407,Classroom Teachers,1,1
510324001407,Classroom teachers in their first year of teaching,0.29,
510324001407,Classroom teachers in their second year of teaching,0.09,
510324001407,Teachers absent more than 10 days of the school year,0.56,
510324001407,Teachers employed during current school year,1.03,
510324001407,Teachers employed during both the current and previous school year,0,
510324001407,High-School Counselors,1,
510324001407,Total enrollment,,
510324001860,Classroom Teachers,1,1
510324001860,Classroom teachers in their first year of teaching,0.23,
510324001860,Classroom teachers in their second year of teaching,0.09,
510324001860,Teachers absent more than 10 days of the school year,0.59,
510324001860,Teachers employed during current school year,0.91,
510324001860,Teachers employed during both the current and previous school year,0,
510324001860,High-School Counselors,1,
510324001860,Total enrollment,,
510324001861,Classroom Teachers,1,1
510324001861,Classroom teachers in their first year of teaching,0.24,
510324001861,Classroom teachers in their second year of teaching,0.37,
510324001861,Teachers absent more than 10 days of the school year,0.47,
510324001861,Teachers employed during current school year,1.26,
510324001861,Teachers employed during both the current and previous school year,0,
510324001861,High-School Counselors,1,
510324001861,Total enrollment,,
510324001862,Classroom Teachers,1,1
510324001862,Classroom teachers in their first year of teaching,0.08,
510324001862,Classroom teachers in their second year of teaching,0.08,
510324001862,Teachers absent more than 10 days of the school year,0.76,
510324001862,Teachers employed during current school year,1.48,
510324001862,Teachers employed during both the current and previous school year,0,
510324001862,High-School Counselors,1,
510324001862,Total enrollment,,
510324001863,Classroom Teachers,1,0.95
510324001863,Classroom teachers in their first year of teaching,0.15,
510324001863,Classroom teachers in their second year of teaching,0.2,
510324001863,Teachers absent more than 10 days of the school year,0.45,
510324001863,Teachers employed during current school year,1.15,
510324001863,Teachers employed during both the current and previous school year,0,
510324001863,High-School Counselors,1,
510324001863,Total enrollment,,
510324001865,Classroom Teachers,1,1
510324001865,Classroom teachers in their first year of teaching,0,
510324001865,Classroom teachers in their second year of teaching,0,
510324001865,Teachers absent more than 10 days of the school year,0.22,
510324001865,Teachers employed during current school year,1,
510324001865,Teachers employed during both the current and previous school year,1,
510324001865,High-School Counselors,1,
510324001865,Total enrollment,,
510324001894,Classroom Teachers,1,1
